customer_id,disbursed_amount,interest,market,employment,time_employed,householder,income,date_issued,target,loan_purpose,number_open_accounts,date_last_payment
0,23201.5,15.484,0,0,0,0,84600.0,2013-06-11,0,0,4.0,2016-01-14
1,7425.0,11.2032,1,1,0,1,102000.0,2014-05-08,0,1,13.0,2016-01-25
2,11150.0,8.51,2,2,0,0,69840.0,2013-10-26,0,0,8.0,2014-09-26
3,7600.0,5.865600000000001,2,3,0,0,100386.0,2015-08-20,0,0,20.0,2016-01-26
4,31960.0,18.7392,3,4,1,0,95040.0,2014-07-22,0,0,14.0,2016-01-11
5,8288.75,15.2448,0,2,1,2,41587.0,2013-08-21,0,0,5.0,2015-01-10
6,27900.0,16.967,4,5,1,0,172050.0,2015-09-27,0,2,9.0,2016-01-02
7,9100.0,16.55,4,6,0,0,47500.0,2015-03-20,0,3,14.0,2016-01-10
8,9996.0,25.5717,3,2,1,0,35520.0,2014-02-14,1,4,9.0,2015-08-01
9,16380.0,8.544,2,7,1,0,38000.0,2013-12-25,0,0,9.0,2016-01-08
10,21840.0,9.8952,1,1,1,2,61875.0,2015-11-22,0,0,13.0,2016-01-08
11,11400.0,7.426,2,8,1,2,85750.0,2014-04-04,0,0,18.0,2016-01-20
12,19008.0,16.1405,4,3,1,0,60450.0,2015-10-26,0,2,16.0,2015-12-18
13,31850.0,19.7306,3,9,1,2,81700.0,2015-11-13,0,0,17.0,2016-01-26
14,4560.0,10.6603,1,8,0,2,30070.0,2015-04-23,0,2,9.0,2016-01-03
15,15792.0,8.9931,1,1,0,0,85560.0,2014-02-19,0,0,12.0,2015-12-06
16,7680.0,10.868,1,5,1,2,141120.0,2015-01-08,0,0,8.0,2015-12-26
17,9300.0,10.6076,1,9,1,2,59400.0,2015-06-19,0,3,14.0,2016-01-17
18,13399.75,15.888,4,4,1,2,30000.0,2015-12-18,0,0,15.0,2016-01-12
19,15200.0,12.4545,1,1,1,0,49000.0,2013-04-11,0,0,12.0,2015-12-25
20,30240.0,16.8201,4,9,0,0,76000.0,2015-03-13,0,0,8.0,2016-01-20
21,22275.0,12.3969,0,2,1,2,90250.0,2015-09-04,0,0,14.0,2016-01-01
22,17108.0,17.3943,4,9,0,0,40612.5,2015-09-24,0,0,6.0,2016-01-23
23,13395.0,16.6915,4,0,1,2,52080.0,2014-05-20,0,0,20.0,2016-01-12
24,18800.0,18.9905,3,9,1,2,78400.0,2014-04-18,0,0,12.0,2016-01-15
25,4800.0,14.1772,4,10,1,0,117600.0,2015-12-17,0,0,14.0,2016-01-03
26,9881.25,16.1644,4,9,1,1,30906.1764,2013-12-08,0,0,8.0,2015-12-25
27,13216.5,20.99,3,9,1,1,26468.64,2015-06-06,0,0,9.0,2016-01-26
28,14100.0,5.7998,2,3,1,0,37632.0,2011-01-01,0,0,14.0,2014-01-07
29,2784.0,16.79,4,1,0,0,36400.0,2014-02-06,0,0,13.0,2015-06-22
30,9500.0,16.4803,4,10,1,0,161000.0,2014-10-04,0,2,12.0,2016-01-22
31,9200.0,15.066,0,1,1,0,61380.0,2013-11-12,0,2,6.0,2015-11-23
32,27440.0,7.821000000000001,2,3,1,2,131600.0,2013-07-19,0,0,10.0,2016-01-15
33,19200.0,9.0909,1,0,0,0,114000.0,2015-02-19,0,0,10.0,2015-04-06
34,15152.5,13.33,0,9,1,0,37600.0,2015-04-23,0,0,20.0,2016-01-10
35,16920.0,23.3966,3,8,1,2,69120.0,2013-09-21,0,0,15.0,2016-01-12
36,27440.0,11.6748,0,1,0,2,147000.0,2015-08-14,0,0,16.0,2015-12-10
37,1395.0,9.1336,2,6,0,0,45307.08,2009-07-04,0,2,11.0,2012-08-08
38,1000.0,18.288,4,7,0,0,98880.0,2013-04-10,0,5,20.0,2014-10-11
39,15680.0,10.2207,1,10,1,0,44650.0,2014-05-05,0,0,18.0,2016-01-07
40,23250.0,7.1799,2,5,1,0,89180.0,2015-11-10,0,0,18.0,2016-01-07
41,18720.0,11.088,1,1,1,0,51150.0,2013-08-13,0,0,12.0,2016-01-13
42,11960.0,9.1744,1,8,0,0,53900.0,2012-07-10,0,0,12.0,2012-09-22
43,19110.0,7.771,1,0,1,0,87300.0,2015-10-06,0,0,10.0,2016-01-25
44,16767.5,9.6903,1,5,0,2,50960.0,2015-10-03,0,0,7.0,2015-12-12
45,17460.0,20.49,3,0,0,0,47520.0,2015-04-04,0,2,4.0,2015-12-09
46,8736.0,11.9286,0,9,0,2,73500.0,2015-05-12,0,0,10.0,2015-10-11
47,11880.0,7.9764,1,6,1,1,51700.0,2014-11-17,0,0,12.0,2015-12-13
48,14379.75,9.1865,1,9,1,0,118340.0,2014-02-07,0,0,10.0,2015-11-27
49,4550.0,9.17,1,1,1,2,53000.0,2015-03-13,0,3,8.0,2015-04-06
50,9100.0,16.0923,4,7,0,0,28800.0,2015-12-25,0,0,21.0,2016-01-25
51,5488.0,14.6734,4,2,1,0,77425.0,2014-09-19,0,2,10.0,2016-01-01
52,4850.0,16.963199999999997,4,9,0,0,73500.0,2014-09-05,0,0,17.0,2014-10-20
53,21840.0,10.2207,1,8,1,2,97020.0,2014-02-04,0,0,20.0,2016-01-18
54,9300.0,14.7609,4,2,1,2,51940.0,2011-03-20,0,3,8.0,2011-07-15
55,14720.0,6.934200000000001,2,2,1,0,42300.0,2014-04-17,0,0,6.0,2016-01-21
56,11400.0,13.5703,0,1,0,2,81310.0,2015-04-18,0,0,15.0,2015-12-12
57,6336.0,10.8058,1,4,1,1,28200.0,2012-10-22,0,0,6.0,2014-10-20
58,16296.0,16.1271,0,4,1,2,72000.0,2012-12-26,0,0,7.0,2016-01-15
59,14550.0,13.6409,0,2,1,2,58240.0,2014-07-02,0,0,21.0,2015-12-27
60,9700.0,10.1374,1,7,1,2,47320.0,2013-05-23,0,0,16.0,2015-12-16
61,5760.0,13.4208,0,0,0,0,21840.0,2014-10-11,0,0,10.0,2016-01-10
62,27900.0,16.650199999999998,4,9,1,2,82000.0,2015-11-09,0,0,17.0,2016-01-11
63,11880.0,13.1241,1,10,1,0,48020.0,2013-12-11,0,0,19.0,2015-12-23
64,23520.0,17.8752,4,7,1,2,72750.0,2014-10-11,0,0,13.0,2016-01-19
65,26320.0,11.4908,1,5,1,2,68600.0,2014-07-09,0,0,26.0,2016-01-12
66,6080.0,7.1799,2,9,1,0,36400.0,2015-10-04,0,0,10.0,2015-12-17
67,14000.0,13.4688,0,0,0,2,92000.0,2014-03-02,0,0,11.0,2016-01-09
68,14700.0,10.1108,1,0,1,2,33840.0,2014-02-01,0,0,14.0,2016-01-06
69,13860.0,6.0904,2,7,1,2,61740.0,2012-07-06,0,2,13.0,2015-07-07
70,14250.0,7.852799999999999,1,0,1,2,59150.0,2015-04-12,0,0,13.0,2016-01-07
71,10230.0,7.89,2,0,1,1,93840.0,2015-02-21,0,0,12.0,2015-04-15
72,22176.0,5.870699999999999,2,0,1,2,71047.7568,2015-04-08,0,0,9.0,2016-01-24
73,15310.75,10.3306,1,4,0,0,74480.0,2015-02-08,0,0,9.0,2016-01-16
74,7790.0,24.2915,3,2,0,0,37000.0,2015-04-19,0,2,12.0,2016-01-17
75,20088.0,8.9866,1,8,1,2,101200.0,2015-09-06,0,0,16.0,2016-01-23
76,20675.0,8.9,2,3,1,2,46060.0,2013-08-06,0,0,11.0,2014-12-27
77,17820.0,13.281,0,3,1,0,89180.0,2014-10-26,0,0,10.0,2015-12-14
78,19600.0,13.3224,0,10,1,0,90850.0,2014-04-13,0,0,12.0,2016-01-01
79,1960.0,13.104,0,9,1,2,27027.0,2014-04-07,0,2,9.0,2015-12-26
80,33600.0,7.8111,2,3,1,2,109182.6008,2015-04-10,0,0,14.0,2016-01-10
81,17460.0,4.841200000000001,2,9,1,2,122850.0,2015-08-18,0,2,5.0,2015-12-04
82,18800.0,6.0357,2,9,0,0,160050.0,2014-10-25,0,0,7.0,2016-01-05
83,15000.0,14.99,0,6,1,2,46000.0,2014-07-14,0,0,15.0,2016-01-15
84,24500.0,5.1604,2,6,0,0,115000.0,2015-07-25,0,0,15.0,2016-01-21
85,3713.0,14.3068,0,0,1,1,19950.0,2013-07-20,0,0,2.0,2015-06-07
86,3800.0,12.4362,0,9,1,0,8004.36,2015-07-05,0,1,7.0,2016-01-10
87,1920.0,11.9938,0,8,1,2,43200.0,2015-11-05,0,0,18.0,2016-01-13
88,7440.0,10.9155,1,0,0,0,57600.0,2010-06-12,0,0,22.0,2012-11-12
89,9215.0,8.8361,1,7,1,2,54600.0,2013-09-17,0,0,17.0,2015-06-21
90,8705.75,13.0403,0,9,1,2,24570.0,2012-12-21,0,2,15.0,2013-12-15
91,10920.0,15.1417,4,5,1,2,44135.0,2014-06-20,0,0,11.0,2016-01-21
92,13352.5,22.7409,3,9,0,1,36100.0,2015-03-10,0,3,20.0,2016-01-25
93,12000.0,8.18,1,3,0,0,36400.0,2015-08-21,0,0,12.0,2016-01-07
94,16380.0,14.5173,4,5,1,2,72000.0,2015-03-02,0,0,12.0,2016-01-15
95,28200.0,14.0231,4,7,1,2,83300.0,2015-11-17,0,0,27.0,2015-12-17
96,15000.0,10.8801,1,2,1,0,109200.0,2015-05-16,0,0,10.0,2016-01-14
97,6580.0,7.6074,1,4,1,2,103950.0,2015-11-03,0,0,27.0,2016-01-13
98,9500.0,15.475499999999998,4,2,1,2,76000.0,2012-02-03,0,0,11.0,2014-04-12
99,14550.0,9.17,1,0,1,0,33840.0,2015-04-05,0,0,12.0,2015-12-01
100,5170.0,12.5856,1,1,0,0,23573.376,2012-10-05,0,0,7.0,2014-08-01
101,24250.0,13.7102,0,10,0,0,117265.5,2015-03-02,0,0,8.0,2016-01-18
102,8599.5,11.49,1,10,1,1,32980.0,2015-11-19,0,0,8.0,2016-01-14
103,5000.0,4.8944,2,8,1,2,88270.0,2015-07-15,0,0,14.0,2016-01-12
104,10044.0,15.1223,4,3,0,0,66500.0,2015-02-24,0,0,9.0,2016-01-13
105,11520.0,17.2809,3,1,1,2,59044.8,2014-08-22,0,3,7.0,2015-11-15
106,7128.0,13.1967,0,7,1,2,45600.0,2015-04-04,0,0,15.0,2016-01-05
107,26315.0,13.771,0,5,1,2,58590.0,2015-10-01,0,0,9.0,2016-01-25
108,4278.0,8.099,2,2,1,1,29700.0,2012-11-20,0,3,6.0,2015-02-11
109,3276.0,14.823899999999998,4,4,1,0,29440.0,2014-07-15,0,5,22.0,2014-10-20
110,3564.0,16.8201,4,8,1,2,39100.0,2015-11-13,0,0,6.0,2016-01-04
111,14250.0,13.5333,0,6,1,0,118800.0,2015-12-04,0,0,11.0,2010-12-05
112,12000.0,6.2124,2,10,0,0,65800.0,2015-03-05,0,0,12.0,2016-01-19
113,13800.0,15.4609,4,3,1,0,35890.0,2015-05-24,0,0,19.0,2015-12-18
114,6256.5,12.2123,0,8,1,2,49470.0,2015-11-15,0,0,9.0,2016-01-09
115,15312.5,13.5703,0,9,1,0,31280.0,2015-10-27,0,0,12.0,2016-01-11
116,10000.0,10.6764,1,0,1,2,38000.0,2015-12-23,0,0,10.0,2014-04-23
117,11160.0,9.8901,1,5,0,0,25760.0,2015-10-14,0,0,9.0,2016-01-10
118,6580.0,15.1223,4,10,0,0,44512.205400000006,2015-01-10,0,3,6.0,2015-12-26
119,4535.5,15.0969,4,7,0,2,36860.0,2014-02-05,0,0,23.0,2015-06-26
120,17280.0,5.9697000000000005,2,7,0,0,53360.0,2014-08-16,0,0,7.0,2016-01-22
121,22750.0,17.3242,4,0,0,0,57000.0,2015-11-01,0,0,6.0,2016-01-17
122,10304.0,17.846700000000002,3,4,1,0,94000.0,2015-10-06,0,2,8.0,2016-01-17
123,19600.0,9.1575,2,2,1,2,74400.0,2013-10-23,0,0,12.0,2015-05-26
124,14250.0,14.8105,4,2,1,2,29760.0,2015-01-08,0,0,10.0,2015-12-06
125,9300.0,11.447500000000002,0,10,0,0,136320.0,2015-11-24,0,0,16.0,2016-01-21
126,19000.0,11.8017,0,2,0,0,98000.0,2015-10-15,0,0,15.0,2015-12-21
127,4074.0,13.1629,0,8,0,0,29016.0,2009-09-15,0,0,8.0,2011-03-01
128,26505.0,13.2165,0,2,0,2,75200.0,2014-11-08,0,0,18.0,2016-01-24
129,22800.0,12.7215,1,5,1,1,96773.04,2014-01-26,0,0,13.0,2015-05-04
130,3840.0,9.2456,1,0,1,2,37200.0,2012-09-24,0,0,8.0,2015-09-13
131,7760.0,8.405100000000001,1,4,1,2,39200.0,2015-12-19,0,0,15.0,2015-10-14
132,8000.0,16.5792,0,6,1,0,49500.0,2013-04-21,0,0,20.0,2015-12-05
133,10340.0,8.277000000000001,2,5,0,0,37440.0,2014-01-02,0,0,6.0,2016-01-11
134,3375.0,15.557,4,8,0,2,43710.0,2015-06-23,0,0,9.0,2016-01-17
135,9600.0,6.9696,2,0,0,0,48510.0,2015-12-02,0,0,8.0,2016-01-27
136,19400.0,6.6928,2,6,1,0,89100.0,2014-10-15,0,0,18.0,2015-12-15
137,4850.0,16.79,4,4,0,1,23246.28,2011-09-06,0,0,7.0,2016-01-23
138,9400.0,15.3915,4,7,0,0,31960.0,2015-07-06,0,0,9.0,2015-08-03
139,5510.0,13.2104,0,0,0,2,39600.0,2010-02-12,0,2,10.0,2011-05-24
140,4292.25,7.634900000000001,2,4,1,0,38253.65,2014-10-17,0,0,11.0,2015-09-07
141,3840.0,12.1422,0,10,0,2,38800.0,2015-01-20,0,0,13.0,2015-12-07
142,25875.0,12.99,1,8,1,2,68620.0,2013-09-20,0,0,12.0,2015-12-02
143,24304.0,10.6603,1,1,0,2,88360.0,2015-10-20,0,0,7.0,2016-01-06
144,19000.0,14.49,0,10,0,2,275000.0,2014-09-01,0,0,25.0,2015-07-08
145,7760.0,8.7997,1,1,1,2,51480.0,2014-01-26,0,0,12.0,2016-01-09
146,4650.0,10.2466,1,3,0,1,14803.1588,2009-07-16,0,0,16.0,2012-05-02
147,5940.0,8.722,2,3,0,0,34300.0,2014-05-15,0,0,9.0,2015-10-16
148,10000.0,7.862399999999999,2,6,1,0,37200.0,2015-01-09,0,0,5.0,2016-01-08
149,13968.0,9.2365,1,0,0,0,41400.0,2014-10-17,0,0,16.0,2016-01-02
150,9936.0,11.14,1,7,0,0,73600.0,2013-04-20,0,0,7.0,2015-03-12
151,9900.0,16.7519,0,9,0,0,32550.0,2013-04-23,0,0,14.0,2015-12-03
152,20370.0,5.668200000000001,2,9,1,2,47530.16,2013-08-10,0,0,11.0,2015-12-06
153,5445.0,10.583,1,9,1,0,29400.0,2012-10-17,0,0,7.0,2015-10-12
154,9300.0,8.9866,1,1,1,2,95000.0,2015-10-25,0,0,9.0,2016-01-01
155,21120.0,14.694,0,6,1,2,78400.0,2013-04-17,0,0,19.0,2016-01-03
156,6912.0,11.8017,0,4,1,1,48960.0,2015-03-27,0,0,9.0,2016-01-15
157,9500.0,16.682,4,6,0,0,77600.0,2013-08-25,0,2,8.0,2015-01-15
158,5390.0,11.4908,1,5,1,0,87300.0,2014-07-06,0,0,18.0,2015-06-04
159,18960.0,20.5702,3,4,1,2,42750.0,2014-11-16,0,0,16.0,2015-11-23
160,23760.0,5.909400000000001,2,8,0,2,134850.0,2014-12-02,0,0,17.0,2016-01-25
161,19800.0,7.426,2,6,0,2,54280.0,2012-03-15,0,2,13.0,2013-09-08
162,34300.0,14.3612,4,4,0,2,124740.0,2015-07-21,0,0,24.0,2016-01-12
163,11280.0,7.0866,2,9,1,2,40320.0,2014-03-22,0,0,7.0,2014-10-16
164,6900.0,11.1453,1,0,0,2,44100.0,2015-12-15,0,0,10.0,2016-01-21
165,25440.0,14.5403,0,4,1,2,82170.0,2014-11-27,0,0,8.0,2016-01-03
166,3552.5,20.49,3,3,1,2,30251.8,2014-02-02,0,0,10.0,2014-10-15
167,31850.0,16.29,0,3,1,1,206630.8,2013-03-16,0,3,14.0,2014-07-14
168,15470.0,13.7102,0,2,0,2,45570.0,2015-04-06,0,0,12.0,2016-01-04
169,15520.0,13.99,0,3,0,0,58000.0,2015-04-15,0,0,8.0,2016-01-16
170,28800.0,7.8866,2,7,1,2,228000.0,2014-10-08,0,0,26.0,2016-01-27
171,19646.25,14.3904,0,0,0,1,44650.0,2014-09-14,0,3,21.0,2016-01-10
172,7073.5,13.7004,0,6,1,2,40040.0,2014-05-25,0,0,12.0,2016-01-25
173,2760.0,6.4251000000000005,2,9,1,2,64990.0,2014-12-04,0,0,10.0,2015-04-11
174,32200.0,8.3447,1,0,1,2,196000.0,2014-07-25,0,0,14.0,2016-01-10
175,8510.0,12.4545,0,4,1,1,19809.0,2010-05-11,0,0,13.0,2011-05-23
176,14675.0,27.0436,3,9,1,1,102000.0,2015-12-19,0,2,8.0,2016-01-22
177,15000.0,18.3724,4,5,0,2,192000.0,2013-12-27,0,0,5.0,2016-01-01
178,21780.0,9.49,1,0,1,0,109200.0,2015-01-18,0,0,21.0,2016-01-21
179,11640.0,11.2032,1,4,1,2,55800.0,2014-07-18,0,0,14.0,2015-12-13
180,7520.0,13.8501,0,6,1,2,76950.0,2015-04-14,0,0,15.0,2016-01-09
181,18200.0,8.455,2,8,1,2,141000.0,2013-05-14,0,0,15.0,2016-01-18
182,17280.0,10.6603,1,7,0,1,73990.0,2015-05-07,0,0,28.0,2016-01-02
183,21120.0,12.5672,0,9,0,0,75200.0,2014-11-16,0,0,7.0,2015-12-19
184,11466.0,12.0612,1,0,0,0,35720.0,2012-09-16,0,0,15.0,2014-08-05
185,9800.0,12.6528,0,7,1,0,28200.0,2015-11-25,0,0,11.0,2016-01-06
186,24000.0,15.9887,4,9,0,0,82000.0,2014-10-14,0,3,10.0,2016-01-04
187,6650.0,7.4955,2,5,0,2,116400.0,2015-11-22,0,0,8.0,2016-01-10
188,6814.25,16.8201,4,1,0,0,22000.0,2015-08-10,0,4,6.0,2015-12-17
189,16000.0,9.8455,1,4,1,2,216000.0,2014-10-04,0,0,13.0,2015-10-11
190,19577.25,7.6074,1,7,1,2,71609.2,2015-03-06,0,0,14.0,2015-12-22
191,18600.0,9.2907,1,3,0,0,135800.0,2015-07-21,0,0,11.0,2016-01-11
192,16910.0,7.718800000000001,2,1,1,2,59800.0,2014-06-19,0,0,15.0,2016-01-07
193,9991.0,5.668200000000001,2,7,0,2,77000.0,2014-07-17,0,0,12.0,2015-09-01
194,17100.0,14.3612,0,0,0,2,92056.48,2014-02-22,0,0,14.0,2014-03-17
195,12804.0,12.549,0,6,0,2,59220.0,2014-07-18,0,0,13.0,2016-01-01
196,31360.0,15.3915,4,9,1,1,142880.0,2015-10-21,0,0,12.0,2015-12-06
197,9900.0,14.2051,0,6,1,0,47940.0,2014-01-05,0,0,11.0,2015-06-19
198,15092.0,18.9905,3,4,0,2,30080.0,2015-06-25,0,3,12.0,2015-07-15
199,14850.0,11.6755,0,3,1,0,67200.0,2015-07-02,0,0,11.0,2015-12-18
200,17100.0,9.6903,1,0,1,2,67900.0,2015-07-04,0,0,19.0,2016-01-13
201,21340.0,12.4704,0,5,0,2,69000.0,2014-10-18,0,0,11.0,2016-01-17
202,6000.0,12.9675,0,3,1,0,78960.0,2014-05-26,0,0,16.0,2016-01-06
203,9500.0,10.626,1,2,1,0,53940.0,2013-08-26,0,0,14.0,2014-08-17
204,9800.0,8.366,2,10,0,2,85500.0,2013-04-26,0,0,12.0,2015-12-20
205,9940.5,20.8356,3,7,1,0,224742.6727,2013-12-01,0,0,11.0,2015-12-23
206,11640.0,6.4251000000000005,2,6,0,0,83700.0,2014-10-07,0,0,15.0,2016-01-01
207,8550.0,8.5281,1,7,1,2,44100.0,2015-07-05,0,0,19.0,2015-12-16
208,9571.25,7.634900000000001,2,3,0,2,84630.0,2014-05-05,0,0,7.0,2016-01-08
209,11280.0,7.12,2,2,0,0,63480.0,2014-07-22,0,0,8.0,2015-12-01
210,23040.0,11.5104,1,4,0,2,99000.0,2013-10-08,0,0,10.0,2014-11-22
211,13432.0,13.3315,0,8,0,1,50440.0,2012-06-22,0,0,8.0,2013-07-27
212,16660.0,10.3224,1,6,1,2,62560.0,2015-12-10,0,0,17.0,2016-01-08
213,14400.0,12.2402,1,5,0,2,80640.0,2014-04-15,0,0,13.0,2016-01-07
214,9120.0,13.771,0,2,1,2,45500.0,2015-08-21,0,0,8.0,2016-01-26
215,5700.0,13.1241,1,5,0,0,23500.0,2014-02-19,0,0,4.0,2015-07-15
216,13580.0,16.968600000000002,4,1,0,0,49000.0,2015-01-14,0,0,8.0,2016-01-13
217,16740.0,14.5173,4,8,1,0,51700.0,2014-06-18,0,0,18.0,2016-01-03
218,11088.0,17.0429,4,7,0,2,31680.0,2015-11-20,0,0,5.0,2016-01-16
219,32550.0,15.4341,4,9,1,1,96252.24,2014-11-22,0,0,15.0,2015-08-22
220,8835.0,7.6892,1,6,1,2,59000.0,2015-10-08,0,0,14.0,2015-11-16
221,13720.0,7.944299999999999,2,1,1,2,107986.944,2015-01-26,0,0,13.0,2016-01-15
222,18400.0,13.0403,0,2,1,0,48613.49,2012-09-24,0,0,11.0,2016-01-17
223,11625.0,12.1824,0,2,1,2,51909.2574,2015-02-16,0,0,7.0,2016-01-23
224,8000.0,7.1799,2,1,0,0,61750.0,2015-07-22,0,0,7.0,2016-01-11
225,5390.0,10.5252,1,0,0,0,33600.0,2012-06-23,0,0,13.0,2014-10-13
226,19110.0,10.99,1,6,1,0,101200.0,2015-02-09,0,0,12.0,2016-01-02
227,7425.0,12.4704,0,7,1,0,62200.0,2014-12-03,0,0,7.0,2016-01-06
228,19926.25,14.6734,4,7,0,0,47000.0,2014-10-12,0,0,10.0,2016-01-10
229,22750.0,13.0977,0,2,0,0,141000.0,2010-10-09,0,0,13.0,2015-03-18
230,10000.0,14.8507,0,6,1,2,107910.0,2012-06-04,0,0,11.0,2013-12-18
231,10340.0,10.6603,1,9,1,2,45000.0,2014-10-06,0,0,18.0,2016-01-12
232,2760.0,12.12,1,9,1,0,35720.0,2012-08-06,0,0,10.0,2015-04-27
233,24960.0,19.4655,3,4,1,0,123500.0,2012-08-21,0,2,11.0,2013-03-01
234,3760.0,9.7902,1,9,1,1,28500.0,2015-04-26,0,5,11.0,2015-12-15
235,5940.0,5.5476,2,7,0,0,40000.0,2014-06-05,0,0,17.0,2015-03-20
236,21840.0,16.8268,3,2,0,1,153767.25,2008-02-06,0,2,23.0,2008-06-23
237,20247.5,17.25,4,1,1,2,63700.0,2012-09-02,0,0,12.0,2015-04-18
238,15732.0,7.6533,2,8,0,2,106400.0,2015-03-08,0,0,11.0,2016-01-11
239,12305.0,16.310399999999998,4,5,1,2,48960.0,2015-03-24,0,0,14.0,2016-01-25
240,6400.0,8.138300000000001,2,1,0,2,70000.0,2014-10-05,0,0,9.0,2016-01-04
241,15980.0,11.9213,0,5,0,2,73790.0,2015-03-19,0,0,21.0,2015-12-25
242,13501.0,17.613,3,6,0,0,33250.0,2014-12-11,0,0,7.0,2016-01-01
243,24000.0,10.3306,1,3,1,2,50000.0,2015-05-25,0,0,13.0,2016-01-04
244,24500.0,13.6245,0,7,1,2,63700.0,2015-02-18,0,0,21.0,2015-12-16
245,16800.0,11.8017,0,2,0,2,168350.0,2015-05-23,0,2,11.0,2015-09-12
246,11761.25,15.1417,4,10,0,2,31192.98,2015-06-25,0,0,13.0,2016-01-18
247,22227.0,9.0783,1,8,0,0,53196.0,2014-08-09,0,0,19.0,2016-01-08
248,16660.0,13.1136,0,4,1,2,93000.0,2015-01-15,0,0,14.0,2016-01-05
249,3000.0,6.1776,2,2,1,2,88360.0,2015-05-01,0,0,6.0,2016-01-20
250,3528.0,22.785,3,6,0,0,29700.0,2013-09-01,0,0,16.0,2014-09-17
251,27440.0,14.5035,0,0,1,2,84600.0,2015-08-22,0,0,9.0,2016-01-25
252,14528.25,7.9,2,3,1,2,36795.0,2012-08-20,0,0,9.0,2014-11-04
253,18200.0,6.8508,2,2,0,2,93100.0,2015-04-26,0,2,12.0,2016-01-14
254,25760.0,10.6603,1,1,1,2,115000.0,2015-04-16,0,0,8.0,2016-01-03
255,28512.0,18.0856,3,6,1,2,109200.0,2015-01-11,0,3,7.0,2016-01-02
256,12160.0,9.5504,1,7,0,2,96000.0,2013-02-09,0,0,6.0,2014-07-20
257,24000.0,13.23,0,0,1,2,76800.0,2010-10-20,0,0,11.0,2015-11-17
258,33950.0,16.4803,4,8,0,2,104500.0,2015-08-27,0,3,11.0,2016-01-26
259,19008.0,12.282,0,7,1,0,74340.6,2014-08-10,0,0,12.0,2015-12-21
260,2850.0,16.8672,4,9,0,0,43120.0,2015-10-05,0,2,14.0,2016-01-05
261,10642.5,14.5403,0,10,1,0,46500.0,2014-10-13,0,6,8.0,2016-01-10
262,14720.0,9.7557,1,9,0,0,38640.0,2015-01-04,0,0,19.0,2016-01-02
263,24500.0,7.718800000000001,2,1,1,2,65800.0,2014-08-08,0,0,8.0,2016-01-22
264,21560.0,19.1009,3,2,0,0,41800.0,2014-11-16,1,0,12.0,2015-08-01
265,4950.0,11.5526,0,10,1,2,32760.0,2015-10-15,0,2,10.0,2016-01-15
266,9588.0,16.1644,4,4,0,2,195840.0,2015-03-14,0,3,6.0,2016-01-11
267,9900.0,12.85,1,9,0,2,90650.0,2013-12-21,0,0,18.0,2014-07-10
268,14400.0,7.3402,2,10,1,0,60450.0,2014-11-02,0,0,10.0,2016-01-06
269,15000.0,7.26,2,8,1,1,134400.0,2015-10-05,0,3,9.0,2015-12-03
270,11880.0,10.1108,1,0,0,0,85000.0,2015-08-02,0,0,15.0,2015-12-14
271,3465.0,10.9655,0,6,0,2,23000.0,2015-11-18,0,0,5.0,2016-01-18
272,3325.0,12.1422,0,1,1,0,66640.0,2014-11-01,0,0,7.0,2015-08-01
273,4462.0,7.663,2,6,0,0,37240.0,2012-09-09,0,1,8.0,2015-06-06
274,14720.0,11.1504,1,6,1,2,78720.0,2013-06-25,0,0,16.0,2014-07-13
275,14100.0,16.6915,4,8,0,0,73500.0,2015-08-25,0,0,5.0,2016-01-18
276,18364.5,17.7632,4,2,1,2,46060.0,2013-09-04,0,2,6.0,2016-01-17
277,17460.0,9.2907,1,3,1,0,55138.72,2015-03-20,1,0,18.0,2016-01-06
278,15246.0,17.2809,3,7,1,2,91665.0,2015-12-27,0,0,15.0,2016-01-06
279,9700.0,7.5744,2,0,1,2,81880.0,2015-09-17,0,2,9.0,2015-12-27
280,11960.0,13.5606,0,4,0,1,28569.6,2014-07-06,0,0,10.0,2016-01-14
281,4368.0,12.6945,0,2,1,0,28710.0,2014-02-11,0,0,10.0,2014-03-07
282,30720.0,8.6198,1,6,0,2,69300.0,2015-11-19,0,0,20.0,2016-01-26
283,20000.0,17.155,3,10,1,1,160000.0,2015-09-24,0,0,28.0,2015-12-10
284,11760.0,16.6944,4,9,1,2,36800.0,2013-11-21,0,0,10.0,2015-03-16
285,9700.0,6.3609,2,0,1,2,70085.51670000001,2014-12-27,0,0,13.0,2015-02-01
286,26880.0,5.928,2,2,1,1,119600.0,2015-07-04,0,0,15.0,2016-01-12
287,11880.0,7.0104,2,6,1,2,83861.96,2014-02-21,0,0,11.0,2016-01-25
288,22320.0,11.5104,1,7,1,0,70840.0,2015-01-17,0,0,15.0,2016-01-17
289,5000.0,9.6903,1,6,0,2,52920.0,2015-08-24,0,2,15.0,2016-01-16
290,7520.0,12.7302,1,0,0,2,72270.0,2014-04-08,0,0,23.0,2016-01-21
291,7128.0,4.841200000000001,2,10,0,0,94080.0,2015-07-08,0,0,11.0,2016-01-25
